CustomerID,orders,first_purchase,last_purchase,total_revenue,avg_basket,median_basket,total_items,avg_days_between,recency_days,tenure_days,active_days,country,historical_clv,annualized_clv_proxy
12346,1,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,77183.6,77183.6,74215,,326,0,1,United Kingdom,77183.6,926203.2
12347,7,2010-12-07 14:57:00,2011-12-07 15:52:00,4310.0,615.71,584.91,2458,60.33,2,365,365,Iceland,4310.0,4310.0
12348,4,2010-12-16 19:09:00,2011-09-25 13:13:00,1797.24,449.31,338.5,2341,94.0,75,282,282,Finland,1797.24,2326.21
12349,1,2011-11-21 09:51:00,2011-11-21 09:51:00,1757.55,1757.55,1757.55,631,,19,0,1,Italy,1757.55,21090.6
12350,1,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,334.4,334.4,197,,310,0,1,Norway,334.4,4012.8
12352,8,2011-02-16 12:33:00,2011-11-03 14:37:00,2506.04,313.26,281.38,536,36.86,36,260,260,Norway,2506.04,3518.09
12353,1,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0,89.0,89.0,20,,204,0,1,Bahrain,89.0,1068.0
12354,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,1079.4,1079.4,530,,232,0,1,Spain,1079.4,12952.8
12355,1,2011-05-09 13:49:00,2011-05-09 13:49:00,459.4,459.4,459.4,240,,214,0,1,Bahrain,459.4,5512.8
12356,3,2011-01-18 09:50:00,2011-11-17 08:40:00,2811.43,937.14,481.46,1591,151.0,23,302,302,Portugal,2811.43,3397.92
12357,1,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67,6207.67,6207.67,2708,,33,0,1,Switzerland,6207.67,74492.04
12358,2,2011-07-12 10:04:00,2011-12-08 10:26:00,1168.06,584.03,584.03,248,149.0,2,149,149,Austria,1168.06,2861.36
12359,4,2011-01-12 12:43:00,2011-10-13 12:47:00,6310.03,1577.51,1474.11,1609,91.0,58,274,274,Cyprus,6310.03,8405.7
12360,3,2011-05-23 09:43:00,2011-10-18 15:22:00,2662.06,887.35,1043.78,1165,74.0,52,148,148,Austria,2662.06,6565.22
12361,1,2011-02-25 13:51:00,2011-02-25 13:51:00,189.9,189.9,189.9,91,,287,0,1,Belgium,189.9,2278.8
12362,10,2011-02-17 10:30:00,2011-12-06 15:40:00,5226.23,522.62,487.17,2229,31.89,3,292,292,Belgium,5226.23,6532.79
12363,2,2011-04-11 13:29:00,2011-08-22 10:18:00,552.0,276.0,276.0,408,132.0,110,132,132,Unspecified,552.0,1526.36
12364,4,2011-08-19 15:24:00,2011-12-02 10:22:00,1313.1,328.28,304.69,1506,34.33,8,104,104,Belgium,1313.1,4608.48
