CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,country,avg_basket,tenure_days,annualized_clv_proxy
12346,326,1,77183.6,1,1,5,115,Hibernating,United Kingdom,77183.6,0,926203.2
12347,2,7,4310.0,5,5,5,555,Champions,Iceland,615.71,365,4310.0
12348,75,4,1797.24,2,4,4,244,Cannot Lose Them,Finland,449.31,282,2326.21
12349,19,1,1757.55,4,1,4,414,Promising,Italy,1757.55,0,21090.6
12350,310,1,334.4,1,1,2,112,Hibernating,Norway,334.4,0,4012.8
12352,36,8,2506.04,3,5,5,355,Loyal Customers,Norway,313.26,260,3518.09
12353,204,1,89.0,1,1,1,111,Hibernating,Bahrain,89.0,0,1068.0
12354,232,1,1079.4,1,1,4,114,Hibernating,Spain,1079.4,0,12952.8
12355,214,1,459.4,1,1,2,112,Hibernating,Bahrain,459.4,0,5512.8
12356,23,3,2811.43,4,3,5,435,Potential Loyalists,Portugal,937.14,302,3397.92
12357,33,1,6207.67,4,1,5,415,Promising,Switzerland,6207.67,0,74492.04
12358,2,2,1168.06,5,2,4,524,New Customers,Austria,584.03,149,2861.36
12359,58,4,6310.03,3,4,5,345,Loyal Customers,Cyprus,1577.51,274,8405.7
12360,52,3,2662.06,3,3,5,335,Hibernating,Austria,887.35,148,6565.22
12361,287,1,189.9,1,1,1,111,Hibernating,Belgium,189.9,0,2278.8
12362,3,10,5226.23,5,5,5,555,Champions,Belgium,522.62,292,6532.79
12363,110,2,552.0,2,2,3,223,At Risk,Unspecified,276.0,132,1526.36
12364,8,4,1313.1,5,4,4,544,Champions,Belgium,328.28,104,4608.48
12365,291,2,641.38,1,2,3,123,At Risk,Cyprus,320.69,0,7696.56
12367,4,1,168.9,5,1,1,511,New Customers,Denmark,168.9,0,2026.8
12370,51,4,3541.94,3,4,5,345,Loyal Customers,Cyprus,885.48,309,4183.84
12371,45,2,1887.96,3,2,4,324,About to Sleep,Switzerland,943.98,14,22655.52
12372,72,3,1298.04,3,3,4,334,Hibernating,Denmark,432.68,224,2115.11
12373,311,1,364.6,1,1,2,112,Hibernating,Austria,364.6,0,4375.2
12374,25,1,742.9300000000001,4,1,3,413,Promising,Austria,742.93,0,8915.16
12375,11,2,457.5,5,2,2,522,New Customers,Finland,228.75,87,1919.4
12377,315,2,1628.12,1,2,4,124,At Risk,Switzerland,814.06,39,15237.53
12378,130,1,4008.62,2,1,5,215,Hibernating,Switzerland,4008.62,0,48103.44
12379,82,2,852.24,2,2,3,223,At Risk,Belgium,426.12,88,3534.86
12380,22,4,2724.81,4,4,5,445,Champions,Belgium,681.2,164,6064.36
12381,5,5,1845.31,5,4,4,544,Champions,Norway,369.06,115,5856.85
12383,185,5,1850.56,1,4,4,144,Cannot Lose Them,Belgium,370.11,167,4044.64
12384,29,2,585.27,4,2,3,423,Promising,Switzerland,292.64,92,2322.0
12386,338,2,401.9,1,2,2,122,At Risk,Australia,200.95,29,4822.8
12388,16,6,2780.66,4,4,5,445,Champions,Australia,463.44,311,3263.48
12390,80,1,549.84,2,1,3,213,Hibernating,Belgium,549.84,0,6598.08
12391,22,1,439.66,4,1,2,412,Promising,Cyprus,439.66,0,5275.92
12393,72,4,1582.6000000000001,3,4,4,344,Loyal Customers,Australia,395.65,260,2221.73
12394,64,2,1272.48,3,2,4,324,About to Sleep,Belgium,636.24,153,3035.65
12395,19,12,3018.63,4,5,5,455,Champions,Belgium,251.55,351,3139.03
12397,36,2,2409.9,3,2,5,325,About to Sleep,Belgium,1204.95,99,8884.98
12398,46,1,1635.6599999999999,3,1,4,314,About to Sleep,Switzerland,1635.66,0,19627.92
12399,119,4,1108.65,2,4,4,244,Cannot Lose Them,Belgium,277.16,142,2849.7
12401,303,1,84.3,1,1,1,111,Hibernating,Belgium,84.3,0,1011.6
12402,323,1,225.6,1,1,1,111,Hibernating,Belgium,225.6,0,2707.2
12403,50,1,427.7,3,1,2,312,About to Sleep,Denmark,427.7,0,5132.4
12405,149,1,1710.39,2,1,4,214,Hibernating,Finland,1710.39,0,20524.68
12406,22,2,3415.3,4,2,5,425,Promising,Denmark,1707.65,161,7742.76
12407,50,5,1708.1200000000001,3,4,4,344,Loyal Customers,Belgium,341.62,214,2913.38
12408,33,5,2888.55,4,4,5,445,Champions,Belgium,577.71,227,4644.58
12409,79,3,11072.67,2,3,5,235,At Risk,Switzerland,3690.89,103,39238.1
12410,309,2,693.3299999999999,1,2,3,123,At Risk,Switzerland,346.66,0,8319.96
12412,75,3,1226.88,2,3,4,234,At Risk,Denmark,408.96,94,4763.95
12413,67,3,758.1,3,3,3,333,Hibernating,France,252.7,270,1024.84
12414,217,3,562.41,1,3,3,133,At Risk,Austria,187.47,93,2207.31
12415,24,21,124914.53,4,5,5,455,Champions,Australia,5948.31,313,145667.1
12417,3,9,3649.1,5,5,5,555,Champions,Belgium,405.46,354,3762.49
12418,113,1,668.58,2,1,3,213,Hibernating,Switzerland,668.58,0,8022.96
12420,64,1,600.39,3,1,3,313,About to Sleep,Cyprus,600.39,0,7204.68
12421,16,4,807.04,4,4,3,443,Champions,Spain,201.76,303,972.18
12422,96,3,803.5600000000001,2,3,3,233,At Risk,Australia,267.85,229,1280.78
12423,1,8,1859.31,5,5,4,554,Champions,Belgium,232.41,352,1927.98
12424,163,2,1760.96,2,2,4,224,At Risk,Australia,880.48,0,21131.52
12425,78,1,777.2,2,1,3,213,Hibernating,Portugal,777.2,0,9326.4
12426,195,1,582.73,1,1,3,113,Hibernating,Germany,582.73,0,6992.76
12427,22,3,825.8,4,3,3,433,Potential Loyalists,Germany,275.27,349,863.66
12428,26,9,7956.46,4,5,5,455,Champions,Finland,884.05,257,11300.03
12429,9,4,3750.4,5,4,5,545,Champions,Denmark,937.6,356,3845.21
12430,43,1,256.4,3,1,2,312,About to Sleep,Norway,256.4,0,3076.8
12431,36,15,6419.95,3,5,5,355,Loyal Customers,Australia,428.0,338,6932.79
12432,43,5,5059.32,3,4,5,345,Loyal Customers,Norway,1011.86,129,14315.13
12433,1,7,13375.87,5,5,5,555,Champions,Norway,1910.84,372,13124.17
12434,85,2,806.14,2,2,3,223,At Risk,Australia,403.07,175,1681.38
12435,80,2,7829.89,2,2,5,225,At Risk,Denmark,3914.94,188,15201.65
12436,100,1,509.01,2,1,3,213,Hibernating,Norway,509.01,0,6108.12
12437,2,18,4951.41,5,5,5,555,Champions,France,275.08,329,5493.21
12438,14,2,2906.85,4,2,5,425,Promising,Norway,1453.42,125,8488.0
12441,367,1,173.55,1,1,1,111,Hibernating,France,173.55,0,2082.6
12442,3,1,172.06,5,1,1,511,New Customers,Spain,172.06,0,2064.72
12444,21,5,5005.46,4,4,5,445,Champions,Norway,1001.09,149,12261.7
12445,22,1,133.4,4,1,1,411,Promising,Spain,133.4,0,1600.8
12446,58,1,1002.3100000000001,3,1,4,314,About to Sleep,RSA,1002.31,0,12027.72
12447,243,1,476.49,1,1,2,112,Hibernating,Belgium,476.49,0,5717.88
12448,44,1,449.45,3,1,2,312,About to Sleep,Spain,449.45,0,5393.4
12449,22,4,4067.29,4,4,5,445,Champions,Belgium,1016.82,164,9052.2
12450,156,2,197.88,2,2,1,221,At Risk,Spain,98.94,17,2374.56
12451,11,5,9035.52,5,4,5,545,Champions,Switzerland,1807.1,313,10536.63
12452,17,2,430.57,4,2,2,422,Promising,Switzerland,215.28,0,5166.84
12453,134,1,707.09,2,1,3,213,Hibernating,Austria,707.09,0,8485.08
12454,56,1,3528.34,3,1,5,315,About to Sleep,Spain,3528.34,0,42340.08
12455,73,6,2466.86,2,4,5,245,Cannot Lose Them,Spain,411.14,223,4037.69
12456,44,3,3181.04,3,3,5,335,Hibernating,Switzerland,1060.35,210,5528.95
