CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,cluster,persona,pc1,pc2,country,avg_basket,tenure_days,annualized_clv_proxy
12346,326,1,77183.6,1,1,5,115,Hibernating,3,Loyal Repeat Buyers,2.3911290145550184,8.320325121600929,United Kingdom,77183.6,0,926203.2
12347,2,7,4310.0,5,5,5,555,Champions,2,VIP B2B Accounts,2.8917174480005716,0.0652151741425249,Iceland,615.71,365,4310.0
12348,75,4,1797.24,2,4,4,244,Cannot Lose Them,3,Loyal Repeat Buyers,1.0552333753705185,0.4692948336417918,Finland,449.31,282,2326.21
12349,19,1,1757.55,4,1,4,414,Promising,0,Casual Low-Value Buyers,0.20417469340679908,2.6204546320292015,Italy,1757.55,0,21090.6
12350,310,1,334.4,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.9188552074246583,1.0575555018207625,Norway,334.4,0,4012.8
12352,36,8,2506.04,3,5,5,355,Loyal Customers,3,Loyal Repeat Buyers,1.6994923253425056,-0.21279907732739634,Norway,313.26,260,3518.09
12353,204,1,89.0,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.8425906521150868,-0.7944722867417447,Bahrain,89.0,0,1068.0
12354,232,1,1079.4,1,1,4,114,Hibernating,0,Casual Low-Value Buyers,-0.9039200450952817,2.5491256778360376,Spain,1079.4,0,12952.8
12355,214,1,459.4,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.5586041631409926,1.3929586269300867,Bahrain,459.4,0,5512.8
12356,23,3,2811.43,4,3,5,435,Potential Loyalists,3,Loyal Repeat Buyers,1.7010506430159986,1.1788399880307114,Portugal,937.14,302,3397.92
12357,33,1,6207.67,4,1,5,415,Promising,0,Casual Low-Value Buyers,1.0515074272084464,4.427219650330638,Switzerland,6207.67,0,74492.04
12358,2,2,1168.06,5,2,4,524,New Customers,3,Loyal Repeat Buyers,1.417191139509542,0.14607994928307155,Austria,584.03,149,2861.36
12359,58,4,6310.03,3,4,5,345,Loyal Customers,3,Loyal Repeat Buyers,2.1221169117762644,2.085563713226342,Cyprus,1577.51,274,8405.7
12360,52,3,2662.06,3,3,5,335,Hibernating,3,Loyal Repeat Buyers,1.292875969275843,1.3751771699946855,Austria,887.35,148,6565.22
12361,287,1,189.9,1,1,1,111,Hibernating,1,Dormant Former Buyers,-2.3444471632076853,0.2880883508311649,Belgium,189.9,0,2278.8
12362,3,10,5226.23,5,5,5,555,Champions,2,VIP B2B Accounts,3.0255278279162554,-0.08676319546109956,Belgium,522.62,292,6532.79
12363,110,2,552.0,2,2,3,223,At Risk,4,Engaged New Buyers,-0.2600654543415624,0.013333598724280745,Unspecified,276.0,132,1526.36
12364,8,4,1313.1,5,4,4,544,Champions,3,Loyal Repeat Buyers,1.2475769308034863,-0.3353428233871968,Belgium,328.28,104,4608.48
12365,291,2,641.38,1,2,3,123,At Risk,0,Casual Low-Value Buyers,-1.3360907218671072,1.0089741319020056,Cyprus,320.69,0,7696.56
12367,4,1,168.9,5,1,1,511,New Customers,1,Dormant Former Buyers,-1.2472731030776496,-0.8217938079000954,Denmark,168.9,0,2026.8
12370,51,4,3541.94,3,4,5,345,Loyal Customers,3,Loyal Repeat Buyers,1.722551216057529,1.2725674996475802,Cyprus,885.48,309,4183.84
12371,45,2,1887.96,3,2,4,324,About to Sleep,3,Loyal Repeat Buyers,0.5682546720912617,1.695931523767672,Switzerland,943.98,14,22655.52
12372,72,3,1298.04,3,3,4,334,Hibernating,3,Loyal Repeat Buyers,0.7051576524777813,0.4464691848620019,Denmark,432.68,224,2115.11
12373,311,1,364.6,1,1,2,112,Hibernating,0,Casual Low-Value Buyers,-1.8512399970934772,1.173257346697051,Austria,364.6,0,4375.2
12374,25,1,742.9300000000001,4,1,3,413,Promising,0,Casual Low-Value Buyers,-0.5569327326757503,1.5352585576323001,Austria,742.93,0,8915.16
12375,11,2,457.5,5,2,2,522,New Customers,4,Engaged New Buyers,0.1671068303673536,-0.7119447996228033,Finland,228.75,87,1919.4
12377,315,2,1628.12,1,2,4,124,At Risk,3,Loyal Repeat Buyers,0.0676862622479553,1.8385071650029974,Switzerland,814.06,39,15237.53
12378,130,1,4008.62,2,1,5,215,Hibernating,0,Casual Low-Value Buyers,0.3078845218527465,4.161882571697863,Switzerland,4008.62,0,48103.44
12379,82,2,852.24,2,2,3,223,At Risk,3,Loyal Repeat Buyers,0.09503800186243368,0.5690790482666033,Belgium,426.12,88,3534.86
12380,22,4,2724.81,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.6361088348506874,0.8044942904773837,Belgium,681.2,164,6064.36
12381,5,5,1845.31,5,4,4,544,Champions,2,VIP B2B Accounts,1.7093702020207417,-0.29783213613845944,Norway,369.06,115,5856.85
12383,185,5,1850.56,1,4,4,144,Cannot Lose Them,3,Loyal Repeat Buyers,0.7726426734733614,0.47151989870158156,Belgium,370.11,167,4044.64
12384,29,2,585.27,4,2,3,423,Promising,4,Engaged New Buyers,0.10374406406689166,-0.17536877307246335,Switzerland,292.64,92,2322.0
12386,338,2,401.9,1,2,2,122,At Risk,4,Engaged New Buyers,-1.1168028502571166,0.027862801753709796,Australia,200.95,29,4822.8
12388,16,6,2780.66,4,4,5,445,Champions,3,Loyal Repeat Buyers,1.9616850438619393,0.1244359916878367,Australia,463.44,311,3263.48
12390,80,1,549.84,2,1,3,213,Hibernating,0,Casual Low-Value Buyers,-1.1294449284775476,1.4022028760075314,Belgium,549.84,0,6598.08
12391,22,1,439.66,4,1,2,412,Promising,0,Casual Low-Value Buyers,-0.9373612540847481,0.808210677072047,Cyprus,439.66,0,5275.92
12393,72,4,1582.6,3,4,4,344,Loyal Customers,3,Loyal Repeat Buyers,0.9509867382507942,0.3000004863251611,Australia,395.65,260,2221.73
12394,64,2,1272.48,3,2,4,324,About to Sleep,3,Loyal Repeat Buyers,0.5872562666144265,0.9812782769266949,Belgium,636.24,153,3035.65
12395,19,12,3018.63,4,5,5,455,Champions,2,VIP B2B Accounts,2.209191829493972,-0.7171777349355948,Belgium,251.55,351,3139.03
12397,36,2,2409.9,3,2,5,325,About to Sleep,3,Loyal Repeat Buyers,1.179591221430576,1.7493069456782713,Belgium,1204.95,99,8884.98
12398,46,1,1635.66,3,1,4,314,About to Sleep,0,Casual Low-Value Buyers,-0.10374443773544238,2.725880285503382,Switzerland,1635.66,0,19627.92
